"","Series","Date","Value"
"12694","Otherb-5",2016-02-01,225597
"12695","Otherb-5",2016-03-01,813589
"12696","Otherb-5",2016-04-01,209191
"12697","Otherb-5",2016-05-01,181727
"12698","Otherb-5",2016-06-01,174054
"12699","Otherb-5",2016-07-01,188217
"12700","Otherb-5",2016-08-01,182150
"12701","Otherb-5",2016-09-01,251850
"12702","Otherb-5",2016-10-01,248568
"12703","Otherb-5",2016-11-01,256382
"12704","Otherb-5",2016-12-01,208782
"12705","Otherb-5",2017-01-01,211419
"12706","Otherb-5",2017-02-01,212392
"12707","Otherb-5",2017-03-01,229049
"12708","Otherb-5",2017-04-01,227447
"12709","Otherb-5",2017-05-01,232989
"12710","Otherb-5",2017-06-01,218147
"12711","Otherb-5",2017-07-01,220481
"12712","Otherb-5",2017-08-01,218631
"12713","Otherb-5",2017-09-01,244676
"12714","Otherb-5",2017-10-01,241407
"12715","Otherb-5",2017-11-01,259413
"12716","Otherb-5",2017-12-01,193810
"12717","Otherb-5",2018-01-01,197524
"12718","Otherb-5",2018-02-01,178576
"12719","Otherb-5",2018-03-01,190046
"12720","Otherb-5",2018-04-01,188825
"12721","Otherb-5",2018-05-01,196177
"12722","Otherb-5",2018-06-01,195261
"12723","Otherb-5",2018-07-01,196846
"12724","Otherb-5",2018-08-01,204208
"12725","Otherb-5",2018-09-01,225740
"12726","Otherb-5",2018-10-01,214685
"12727","Otherb-5",2018-11-01,192204
"12728","Otherb-5",2018-12-01,174626
"12729","Otherb-5",2019-01-01,153154
"12730","Otherb-5",2019-02-01,170109
"12731","Otherb-5",2019-03-01,181076
"12732","Otherb-5",2019-04-01,189041
"12733","Otherb-5",2019-05-01,197114
"12734","Otherb-5",2019-06-01,202455
"12735","Otherb-5",2019-07-01,211944
"12736","Otherb-5",2019-08-01,209858
"12737","Otherb-5",2019-09-01,219726
"12738","Otherb-5",2019-10-01,221161
"12739","Otherb-5",2019-11-01,154988
"12740","Otherb-5",2019-12-01,96537
"12741","Otherb-5",2020-01-01,98364
"12742","Otherb-5",2020-02-01,122409
"12743","Otherb-5",2020-03-01,107468
"12744","Otherb-5",2020-04-01,68789
"12745","Otherb-5",2020-05-01,50194
"12746","Otherb-5",2020-06-01,45007
"12747","Otherb-5",2020-07-01,49922
"12748","Otherb-5",2020-08-01,46787
"12749","Otherb-5",2020-09-01,50588
"12750","Otherb-5",2020-10-01,94965
"12751","Otherb-5",2020-11-01,80291
"12752","Otherb-5",2020-12-01,70112
"12753","Otherb-5",2021-01-01,87019
"12754","Otherb-5",2021-02-01,99619
"12755","Otherb-5",2021-03-01,102099
"12756","Otherb-5",2021-04-01,510471
"12757","Otherb-5",2021-05-01,997689
"12758","Otherb-5",2021-06-01,977028
"12759","Otherb-5",2021-07-01,1129226
"12760","Otherb-5",2021-08-01,1305211
"12761","Otherb-5",2021-09-01,1223372
"12762","Otherb-5",2021-10-01,1301177
"12763","Otherb-5",2021-11-01,1253563
"12764","Otherb-5",2021-12-01,1188419
"12765","Otherb-5",2022-01-01,1241908
"12766","Otherb-5",2022-02-01,1231256
"12767","Otherb-5",2022-03-01,983064
"12768","Otherb-5",2022-04-01,1413682
"12769","Otherb-5",2022-05-01,1475464
"12770","Otherb-5",2022-06-01,1546409
"12771","Otherb-5",2022-07-01,1617328
"12772","Otherb-5",2022-08-01,1661021
"12773","Otherb-5",2022-09-01,1607393
"12774","Otherb-5",2022-10-01,1696867
"12775","Otherb-5",2022-11-01,1753291
"12776","Otherb-5",2022-12-01,1517742
"12777","Otherb-5",2023-01-01,1425009
"12778","Otherb-5",2023-02-01,1503902
"12779","Otherb-5",2023-03-01,1587668
"12780","Otherb-5",2023-04-01,1607515
"12781","Otherb-5",2023-05-01,1567538
"12782","Otherb-5",2023-06-01,1676712
"12783","Otherb-5",2023-07-01,1646285
"12784","Otherb-5",2023-08-01,1668284
"12785","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-01-01,27767494
"12786","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-02-01,24793150
"12787","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-03-01,25328195
"12788","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-04-01,26358271
"12789","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-05-01,27032736
"12790","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-06-01,29638939
"12791","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-07-01,29897411
"12792","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-08-01,33259979
"12793","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-09-01,29418565
"12794","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-10-01,33089987
"12795","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-11-01,31002723
"12796","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2008-12-01,34243934
"12797","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-01-01,33827300
"12798","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-02-01,35386024
"12799","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-03-01,36054350
"12800","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-04-01,35185350
"12801","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-05-01,36535748
"12802","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-06-01,34926343
"12803","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-07-01,35654376
"12804","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-08-01,36549484
"12805","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-09-01,33375838
"12806","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-10-01,32580439
"12807","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-11-01,32957736
"12808","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2009-12-01,37583532
"12809","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-01-01,36419442
"12810","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-02-01,34892928
"12811","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-03-01,35221120
"12812","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-04-01,35325540
"12813","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-05-01,35204531
"12814","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-06-01,38045127
"12815","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-07-01,37847241
"12816","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-08-01,40336351
"12817","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-09-01,41623846
"12818","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-10-01,42963519
"12819","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-11-01,43417533
"12820","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2010-12-01,44718419
"12821","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-01-01,45538859
"12822","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-02-01,46126655
"12823","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-03-01,46351378
"12824","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-04-01,48302275
"12825","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-05-01,46162178
"12826","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-06-01,46876997
"12827","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-07-01,48237707
"12828","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-08-01,46746529
"12829","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-09-01,38121697
"12830","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-10-01,37893381
"12831","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-11-01,40014027
"12832","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2011-12-01,42711761
"12833","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-01-01,45427144
"12834","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-02-01,44767892
"12835","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-03-01,44722567
"12836","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-04-01,43472961
"12837","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-05-01,45981983
"12838","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-06-01,47039933
"12839","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-07-01,46410021
"12840","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-08-01,46955165
"12841","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-09-01,47042411
"12842","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-10-01,45952608
"12843","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-11-01,45898931
"12844","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2012-12-01,44090296
"12845","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-01-01,43204177
"12846","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-02-01,42862720
"12847","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-03-01,42059838
"12848","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-04-01,43867008
"12849","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-05-01,42589751
"12850","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-06-01,40463706
"12851","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-07-01,38873384
"12852","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-08-01,41388066
"12853","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-09-01,40714850
"12854","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-10-01,41639778
"12855","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-11-01,44487376
"12856","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2013-12-01,39982946
"12857","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-01-01,40185164
"12858","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-02-01,39997545
"12859","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-03-01,43818824
"12860","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-04-01,43853373
"12861","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-05-01,43283511
"12862","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-06-01,40909261
"12863","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-07-01,41954408
"12864","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-08-01,44866971
"12865","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-09-01,44147158
"12866","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-10-01,45112541
"12867","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-11-01,45390416
"12868","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2014-12-01,51443102
"12869","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-01-01,51566328
"12870","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-02-01,50972309
"12871","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-03-01,48780441
"12872","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-04-01,48637355
"12873","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-05-01,51618284
"12874","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-06-01,50545657
"12875","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-07-01,50924444
"12876","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-08-01,54096885
"12877","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-09-01,53167899
"12878","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-10-01,53213073
"12879","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-11-01,55810064
"12880","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2015-12-01,53695568
"12881","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-01-01,55162953
"12882","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-02-01,57345372
"12883","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-03-01,61992703
"12884","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-04-01,60177071
"12885","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-05-01,61945431
"12886","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-06-01,63532760
"12887","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-07-01,63862074
"12888","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-08-01,64838694
"12889","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-09-01,68502814
"12890","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-10-01,66660659
"12891","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-11-01,64651229
"12892","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2016-12-01,70490395
"12893","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2017-01-01,72717879
"12894","Overdrafts, loans and advances: public sector (total of items 172 to 179)",2017-02-01,74839760
